id,name,email,age,signup_date,country,is_active,subscription_planve,last_login,balance
1,Helsa Riches,hriches0@blinklist.com,90,12/12/2021,United States,true,Premium,03/26/2025,187
2,Charo Munton,cmunton1@mayoclinic.com,58,01/03/2020,China,false,Free,08/05/2022,673
3,Emelen Frisby,efrisby2@hao123.com,54,03/31/2023,China,true,Free,11/03/2023,8539
4,Amalita Keyworth,akeyworth3@bbb.org,96,08/19/2024,Paraguay,false,Basic,02/18/2024,9334
5,Shell Eytel,seytel4@soup.io,95,08/05/2024,Poland,false,Free,11/30/2023,5518
6,Wynny Presdie,wpresdie5@gov.uk,98,05/09/2025,Canada,true,Premium,04/13/2025,6214
7,Fremont Stockley,fstockley6@gravatar.com,66,10/24/2024,Thailand,false,Free,06/09/2021,3456
8,Francis Crosthwaite,fcrosthwaite7@livejournal.com,87,09/01/2024,China,false,Free,06/02/2022,2197
9,Sheeree Francello,sfrancello8@boston.com,97,05/02/2023,China,false,Free,12/10/2025,2153
10,Ariella Brabbs,abrabbs9@jugem.jp,88,09/15/2020,Peru,false,Free,11/08/2022,8028
11,Eolanda Thouless,ethoulessa@bloomberg.com,73,04/22/2025,Malaysia,false,Premium,07/03/2025,9809
12,Sofie Rioch,sriochb@addtoany.com,84,12/28/2021,China,false,Free,06/06/2022,6863
13,Clarissa Paddle,cpaddlec@xing.com,53,10/25/2023,China,true,Premium,12/09/2025,6616
14,Esme Godson,egodsond@cnet.com,62,07/19/2020,Sweden,true,Basic,10/27/2020,2266
15,Wynny Harrisson,wharrissone@pcworld.com,100,12/29/2024,Poland,false,Premium,07/05/2021,1907
16,Denis Krojn,dkrojnf@ft.com,45,04/07/2025,Czech Republic,false,Free,01/27/2023,3677
17,Jeana Foddy,jfoddyg@ed.gov,68,03/26/2025,Poland,true,Basic,08/02/2024,4158
18,Claudine deKnevet,cdekneveth@admin.ch,99,01/31/2021,Czech Republic,true,Free,07/13/2020,4368
19,Donica Swaden,dswadeni@webeden.co.uk,52,07/16/2022,China,false,Basic,03/08/2023,5674
20,Jamie Posen,jposenj@t.co,73,05/31/2022,Philippines,false,Free,03/11/2025,7355
